chartSource,songRank,songName,songArtist,songStreams
Spotify,152,Polvo,"Nicky Jam, Myke Towers",5704274
Spotify,153,SAD!,XXXTENTACION,5670307
Spotify,154,Why'd You Only Call Me When You're High?,Arctic Monkeys,5662465
Spotify,155,Ride It,Regard,5635326
Spotify,156,7 rings,Ariana Grande,5629269
Spotify,157,Starboy,"The Weeknd, Daft Punk",5579732
Spotify,158,SICKO MODE,Travis Scott,5545899
Spotify,159,Una Locura,"Ozuna, J Balvin, Chencho Corleone",5540983
Spotify,160,Put Your Records On,Ritt Momney,5533577
Spotify,161,Godzilla (feat. Juice WRLD),Eminem,5515914
Spotify,162,Every Breath You Take,The Police,5513037
Spotify,163,my ex's best friend (with blackbear),Machine Gun Kelly,5503324
Spotify,164,POPSTAR (feat. Drake),DJ Khaled,5500318
Spotify,165,Vida de Rico,Camilo,5499655
Spotify,166,Travesuras - Remix,"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie",5481153
Spotify,167,Snowman,Sia,5454807
Spotify,168,DAYWALKER! (feat. CORPSE),Machine Gun Kelly,5439646
Spotify,169,Counting Stars,OneRepublic,5416184
Spotify,170,BED,"Joel Corry, RAYE, David Guetta",5408561
Spotify,171,Yellow,Coldplay,5402462
Spotify,172,Parce (feat. Justin Quiles),"Maluma, Lenny Tavárez",5368886
Spotify,173,Take You Dancing,Jason Derulo,5348757
Spotify,174,La Tóxica,Farruko,5339830
Spotify,175,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,5339366
Spotify,176,Tusa,"KAROL G, Nicki Minaj",5287568
Spotify,177,Stuck with U (with Justin Bieber),Ariana Grande,5282609
Spotify,178,Riptide,Vance Joy,5275926
Spotify,179,when the party's over,Billie Eilish,5261237
Spotify,180,Another One Bites The Dust - Remastered 2011,Queen,5258335
Spotify,181,Coração Na Cama,Hugo & Guilherme,5251540
Spotify,182,Devil Eyes,Hippie Sabotage,5238005
Spotify,183,hot girl bummer,blackbear,5231171
Spotify,184,Fan de Tus Fotos,"Nicky Jam, Romeo Santos",5219460
Spotify,185,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",5198514
Spotify,186,Ponte Pa' Mi,Justin Quiles,5179538
Spotify,187,Closer,"The Chainsmokers, Halsey",5171474
Spotify,188,All We Got (feat. KIDDO),Robin Schulz,5156937
Spotify,189,Mr. Brightside,The Killers,5119923
Spotify,190,Love Not War (The Tampa Beat),"Jason Derulo, Nuka",5113400
Spotify,191,Say So,Doja Cat,5103528
Spotify,192,Hope,XXXTENTACION,5085527
Spotify,193,The Less I Know The Better,Tame Impala,5084635
Spotify,194,I Feel It Coming,"The Weeknd, Daft Punk",5079857
Spotify,195,Mood Swings (feat. Lil Tjay),Pop Smoke,5068349
Spotify,196,Smells Like Teen Spirit,Nirvana,5055202
Spotify,197,Someone To You,BANNERS,5054881
Spotify,198,To the Bone,Pamungkas,5052557
Spotify,199,How You Like That,BLACKPINK,5023592
Spotify,200,LOST,"NF, Hopsin",5013851
Spotify,1,drivers license,Olivia Rodrigo,34354364
Spotify,2,What’s Next,Drake,28117894
Spotify,3,Save Your Tears,The Weeknd,27063727
Spotify,4,telepatía,Kali Uchis,25690656
Spotify,5,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",24320342
Spotify,6,Wants and Needs (feat. Lil Baby),Drake,23417143
Spotify,7,Astronaut In The Ocean,Masked Wolf,23333417
Spotify,8,Blinding Lights,The Weeknd,22630316
Spotify,9,DÁKITI,"Bad Bunny, Jhay Cortez",22187837
Spotify,10,Hold On,Justin Bieber,20879737
Spotify,11,Calling My Phone,"Lil Tjay, 6LACK",19504454
Spotify,12,Bandido,"Myke Towers, Juhn",18660735
Spotify,13,The Business,Tiësto,18140968
Spotify,14,Mood (feat. iann dior),24kGoldn,17784510
Spotify,15,WITHOUT YOU,The Kid LAROI,17605727
Spotify,16,Streets,Doja Cat,17539606
Spotify,17,Lemon Pepper Freestyle (feat. Rick Ross),Drake,17517919
Spotify,18,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",16430416
Spotify,19,Heartbreak Anniversary,Giveon,16150875
Spotify,20,Up,Cardi B,15863307
Spotify,21,Good Days,SZA,14876538
Spotify,22,Levitating (feat. DaBaby),Dua Lipa,14746851
Spotify,23,Ella No Es Tuya - Remix,"Rochy RD, Myke Towers, Nicki Nicole",14524566
Spotify,24,Dynamite,BTS,14131599
Spotify,25,Baila Conmigo (with Rauw Alejandro),Selena Gomez,13989870
Spotify,26,BICHOTA,KAROL G,13955274
Spotify,27,Whoopty,CJ,13858645
Spotify,28,positions,Ariana Grande,13611441
Spotify,29,34+35,Ariana Grande,12439208
Spotify,30,Hecha Pa' Mi,Boza,12415699
Spotify,31,Someone You Loved,Lewis Capaldi,12183284
Spotify,32,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,12085028
Spotify,33,Arcade,Duncan Laurence,12026741
Spotify,34,you broke me first,Tate McRae,11972270
Spotify,35,Heat Waves,Glass Animals,11953992
Spotify,36,Anyone,Justin Bieber,11880489
Spotify,37,We're Good,Dua Lipa,11823965
Spotify,38,Paradise (feat. Dermot Kennedy),MEDUZA,11782654
Spotify,39,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,11761627
Spotify,40,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",11283749
Spotify,41,Your Love (9PM),"ATB, Topic, A7S",11216638
Spotify,42,What You Know Bout Love,Pop Smoke,11101545
Spotify,43,Goosebumps - Remix,"Travis Scott, HVME",11093038
Spotify,44,Watermelon Sugar,Harry Styles,11051092
Spotify,45,Head & Heart (feat. MNEK),Joel Corry,10801758
Spotify,46,Therefore I Am,Billie Eilish,10654662
Spotify,47,GIRL LIKE ME,"Black Eyed Peas, Shakira",10616869
Spotify,48,ROCKSTAR (feat. Roddy Ricch),DaBaby,10342615
Spotify,49,Sweater Weather,The Neighbourhood,10166420
Spotify,50,Prisoner (feat. Dua Lipa),Miley Cyrus,9755256
Spotify,51,Reloj,"Rauw Alejandro, Anuel AA",9736458
Spotify,52,Dance Monkey,Tones And I,9612334
Spotify,53,Hawái,Maluma,9554328
Spotify,54,WAP (feat. Megan Thee Stallion),Cardi B,9515681
Spotify,55,SugarCrash!,ElyOtto,9352536
Spotify,56,Selfish Love (with Selena Gomez),DJ Snake,9265541
Spotify,57,Don't Start Now,Dua Lipa,9265064
Spotify,58,Best Friend (feat. Doja Cat),Saweetie,9137877
Spotify,59,Roses - Imanbek Remix,SAINt JHN,9038927
Spotify,60,Before You Go,Lewis Capaldi,8785602
Spotify,61,Heather,Conan Gray,8601129
Spotify,62,My Head & My Heart,Ava Max,8522172
Spotify,63,La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers",8436270
Spotify,64,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,8181437
Spotify,65,No Te Enamores - Remix,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",8172612
Spotify,66,Machu Picchu,"Camilo, Evaluna Montaner",8069408
Spotify,67,911,Sech,8048030
Spotify,68,Circles,Post Malone,7939493
Spotify,69,lovely (with Khalid),Billie Eilish,7844367
Spotify,70,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,7711708
Spotify,71,Fiel,"Los Legendarios, Wisin, Jhay Cortez",7664273
Spotify,72,death bed (coffee for your head),"Powfu, beabadoobee",7631789
Spotify,73,Goosebumps,HVME,7630805
Spotify,74,At My Worst,Pink Sweat$,7624352
Spotify,75,Además de Mí - Remix,"Rusherking, KHEA, Duki, Maria Becerra, Lit Killah, Tiago PZK",7618673
Spotify,76,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",7539296
Spotify,77,Holy (feat. Chance The Rapper),Justin Bieber,7471348
Spotify,78,Laugh Now Cry Later (feat. Lil Durk),Drake,7462613
Spotify,79,TE MUDASTE,Bad Bunny,7461049
Spotify,80,Lucid Dreams,Juice WRLD,7373276
Spotify,81,Lonely (with benny blanco),Justin Bieber,7290160
Spotify,82,Ropa Cara,Camilo,7281150
Spotify,83,Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",7148807
Spotify,84,Shallow,"Lady Gaga, Bradley Cooper",7140043
Spotify,85,goosebumps,Travis Scott,7118422
Spotify,86,BEBÉ,"Camilo, El Alfa",7068061
Spotify,87,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",7040163
Spotify,88,LOCATION,"KAROL G, Anuel AA, J Balvin",7039155
Spotify,89,Golden,Harry Styles,7027881
Spotify,90,Afterglow,Ed Sheeran,6999235
Spotify,91,Memories,Maroon 5,6883044
Spotify,92,bad guy,Billie Eilish,6875027
Spotify,93,Adore You,Harry Styles,6853948
Spotify,94,Señorita,"Shawn Mendes, Camila Cabello",6840280
Spotify,95,The Box,Roddy Ricch,6810541
Spotify,96,willow,Taylor Swift,6799763
Spotify,97,Believer,Imagine Dragons,6784840
Spotify,98,Chica Ideal,"Sebastian Yatra, Guaynaa",6705478
Spotify,99,The Hills,The Weeknd,6684404
Spotify,100,Breaking Me,"Topic, A7S",6676456
Spotify,101,Hasta Abajo,"Kevin Roldan, Bryant Myers, Lyanno",6675379
Spotify,102,Back In Blood (feat. Lil Durk),Pooh Shiesty,6664817
Spotify,103,Mi Niña,"Wisin, Myke Towers, Los Legendarios",6652954
Spotify,104,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny",6645822
Spotify,105,Say You Won't Let Go,James Arthur,6610943
Spotify,106,Vida de Rico,Camilo,6566703
Spotify,107,Blueberry Faygo,Lil Mosey,6524999
Spotify,108,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,6500055
Spotify,109,Wishing Well,Juice WRLD,6429688
Spotify,110,Daddy Issues,The Neighbourhood,6416804
Spotify,111,Life Goes On,BTS,6390590
Spotify,112,Tapão Na Raba,Raí Saia Rodada,6346857
Spotify,113,Life Is Good (feat. Drake),Future,6334349
Spotify,114,Jocelyn Flores,XXXTENTACION,6326216
Spotify,115,Perfect,Ed Sheeran,6296246
Spotify,116,Train Wreck,James Arthur,6264743
Spotify,117,Shape of You,Ed Sheeran,6235220
Spotify,118,Take Me To Church,Hozier,6227168
Spotify,119,HIGHEST IN THE ROOM,Travis Scott,6132303
Spotify,120,Hayloft,Mother Mother,6127516
Spotify,121,Robbery,Juice WRLD,6098943
Spotify,122,Snowman,Sia,6078880
Spotify,123,HOLIDAY,Lil Nas X,6042512
Spotify,124,In Your Eyes,The Weeknd,6039794
Spotify,125,Dior,Pop Smoke,6036229
Spotify,126,Come & Go (with Marshmello),Juice WRLD,5995092
Spotify,127,Falling,Trevor Daniel,5978302
Spotify,128,Polvo,"Nicky Jam, Myke Towers",5955252
Spotify,129,Dreams - 2004 Remaster,Fleetwood Mac,5941113
Spotify,130,Do I Wanna Know?,Arctic Monkeys,5911146
Spotify,131,Una Locura,"Ozuna, J Balvin, Chencho Corleone",5888948
Spotify,132,All Girls Are The Same,Juice WRLD,5888734
Spotify,133,Bohemian Rhapsody - Remastered 2011,Queen,5886748
Spotify,134,All of Me,John Legend,5886022
Spotify,135,Why'd You Only Call Me When You're High?,Arctic Monkeys,5813821
Spotify,136,Put Your Records On,Ritt Momney,5810399
Spotify,137,Martin & Gina,Polo G,5803964
Spotify,138,Just the Way You Are,Bruno Mars,5773811
Spotify,139,POPSTAR (feat. Drake),DJ Khaled,5772327
Spotify,140,If the World Was Ending - feat. Julia Michaels,JP Saxe,5759851
Spotify,141,7 rings,Ariana Grande,5757671
Spotify,142,Somebody That I Used To Know,"Gotye, Kimbra",5756979
Spotify,143,Starboy,"The Weeknd, Daft Punk",5751036
Spotify,144,La Tóxica,Farruko,5737896
Spotify,145,Falling,Harry Styles,5681403
Spotify,146,SAD!,XXXTENTACION,5677336
Spotify,147,Rain On Me (with Ariana Grande),Lady Gaga,5669937
Spotify,148,Parce (feat. Justin Quiles),"Maluma, Lenny Tavárez",5654315
Spotify,149,Ride It,Regard,5640650
Spotify,150,Stuck with U (with Justin Bieber),Ariana Grande,5640027
Spotify,151,Break My Heart,Dua Lipa,5636952
Spotify,152,Take You Dancing,Jason Derulo,5631687
Spotify,153,ZITTI E BUONI,Måneskin,5604894
Spotify,154,Godzilla (feat. Juice WRLD),Eminem,5602370
Spotify,155,SICKO MODE,Travis Scott,5580268
